labels,hp6,hp6_min,hp6_max,lp6,lp6_min,lp6_max,hp5,hp5_min,hp5_max,lp5,lp5_min,lp5_max,al,al_min,al_max,fe,fe_min,fe_max,mse
0,0.8309899598173903,0.24846014697456073,1,0.8781507980388725,0.20625208602246967,1,0.9415141368574486,0.3054706794768429,1,0.9150482679341192,0.2842985868327652,1,0.8419989056978845,0.009471642318151008,1,0.837462667038288,0.17108527993601916,1,3.8576934320157634
1,0.7606494239271187,0.07118533916671305,1,0.4590367867942344,0,1,0.38174710098102643,0.03626096900783328,1,0.34516611510138745,0,1,0.41676659805533744,0,1,0.6226156450643496,0,1,5.791489594036575
2,0.05403388404287273,0,1,0.05228588571217024,0,1,0.06330427560589315,0,0.5958946815464575,0.06817817261605105,0,0.6624248612751794,0.11907239860230996,0,0.74725426263391,0.168810445635719,0,1,4.352286101355343
3,0.2918752389223725,0.010163742671313966,1,0.06485641330388997,0,0.7491405851213918,1,0.4977500996677088,1,0.02146943407184964,0,0.5641566959790385,0.5868339512448443,0,1,0.11928411680383415,0,0.8273404367004418,3.7960073707999413
4,0.06727261411334683,0,0.6421145358057138,0.06865052966967412,0,0.7142557306025595,0.15151372931164264,0,0.7164973863871915,0.18572713476919386,0,1,0.8183231265622813,0.00757698500923812,1,1,0.3594808535374462,1,3.831009048159732
5,0.34424575437842614,0.020411258864901884,1,0.6185437438060384,0.1049392013816406,1,0.9127513157780793,0.1431285065435853,1,0.8643868766530467,0.17943370990294694,1,0.32755379717761945,0,1,0.12671769994098322,0,0.8495960538616175,4.890099182461082
6,0.37159188842744434,0.0054920068475645956,1,1,0.4218704825101443,1,0.31728673569122035,0.023004685917967293,0.8337183438888399,0.21305450348033206,0.023792748901605692,0.7550641126964731,0.9257106703947546,0,1,0.02972976597056853,0,0.8055748420033569,4.16424515623279
7,0.17199975784379035,0,0.7976821953751791,0.0909652897195729,0,0.7594080254173261,0.21396732619326525,0,0.7512725945901826,0.6267098214558585,0,1,1,0.4393720089923007,1,0.10972409022101554,0,0.7510778135033552,3.6558295715073825
8,0.19724899770650006,0.010559100103768024,0.7181668028665922,0.12323650765108894,0,0.6676594503553778,0.23291309698729484,0.005603461752255152,0.7234406485701348,1,0.29161491818092666,1,0.04703946419857662,0.011216885442813069,0.6655808556786111,0.6433898514867287,0.009347870733167996,1,3.3731613003442136
