labels,lp6-hp6,lp6-hp6_min,lp6-hp6_max,hp5-hp6,hp5-hp6_min,hp5-hp6_max,lp5-hp6,lp5-hp6_min,lp5-hp6_max,al-hp6,al-hp6_min,al-hp6_max,fe-hp6,fe-hp6_min,fe-hp6_max,mse
0,0.047160838221482315,-0.5881056907590356,0.856366406257544,0.11052417704005824,-0.4825256926241339,0.9314342990402795,0.08405830811672876,-0.5741129030178129,0.9729349314955802,0.01100894588049428,-0.772045522410171,0.9783044926119846,0.0064727072208976555,-0.8239890781027137,0.8547603360105911,3.0902660674583764
1,-0.3531592623849512,-1,0.26477782558241447,-0.4197909951131522,-0.9562499702873156,0.005729212233762659,-0.9094678301239179,-1,-0.35284977970603126,-0.9508380737048849,-1,-0.21230714401436668,-0.9800084904765535,-1,-0.3383380770408192,1.0005317097450699
2,0.0013779155563273804,-0.26009174912824706,0.5908420605944518,0.0842411151982958,-0.20526944229077382,0.548507388887697,0.11845452065584694,-0.2569716122001906,0.9383835173319994,0.7510505124489346,-0.08157691487099039,1,0.9327273858866532,-0.008095543273858419,1,1.2268017481500069
3,-0.5623364806986539,-0.9642590513393106,0.12489993730315496,-0.6593236093223516,-0.9482921535430179,0.0053669637152911065,-0.2900908666439723,-0.9750579057213389,0.3062622639768229,-0.5259303919460938,-0.9912733371554263,0.2697141843205708,-0.26013634338263536,-0.9002531685052596,0.47461819898472557,1.8044687995519655
4,0.6243447052804303,-0.15259632402240453,0.7180453666362987,0.8752041201590384,0.14558290228615456,0.9898362573286861,0.03106441992073239,-0.14690631208631433,0.7392139602827976,0.4365695257957123,-0.1730359850243448,0.8477465236603772,0.27555904763649064,-0.2185363189799686,0.8032539775789176,1.085510539573924
5,-0.5839918371244041,-0.8943264427954136,-0.07051837418489548,0.41600816287559583,-0.41508264689967145,0.7551001972746176,-0.5839918371244041,-0.8352949308573943,0.064942496141013,-0.12978837353207584,-0.7790505325618798,0.454697651839683,-0.5839918371244041,-0.910753764444986,-0.004902652396425178,1.3002789668475252
6,0.09129361319139218,-0.1508748955777427,0.45129845206742236,0.9795887411350981,0.019291252438874418,0.9795887411350981,0.8727558499953578,0.3414510116124896,0.9981940472406632,0.8127165260505353,0.17705464127076986,0.96396308736646,0.04100910489706733,-0.16450231998039355,0.5920376048916172,0.7269182456796621
7,0.05285847417653078,-0.5528143811435358,0.5915920543415223,0.008218658462171513,-0.4903695424837966,0.4490369854324854,0.036312268971902206,-0.6305714335835245,0.4205345589368812,-0.8288065640874643,-1,-0.14693117740235517,-0.6830638233386224,-0.939679915037567,0.11595047686702942,1.2847641155461078
8,0.9458471463235929,-0.01186459829618236,1,-0.00972523498170308,-0.20967690717809118,0.33768924236581,0.29796322840797895,-0.15853738494711234,0.6946540131706558,0.7826175384072709,0.036136040344227016,1,-0.0349595528026706,-0.34186212245687586,0.6637349033127391,0.997918584933441
