labels,hp6,hp6_min,hp6_max,lp6,lp6_min,lp6_max,hp5,hp5_min,hp5_max,lp5,lp5_min,lp5_max,al,al_min,al_max,fe,fe_min,fe_max,mse
0,0.8309899598173903,0.2709926134565546,1,0.8781507980388725,0.36204766716025866,1,0.9415141368574486,0.3270649406288907,1,0.9150482679341192,0.2842985868327652,1,0.8419989056978845,0.18380474312474887,1,0.837462667038288,0.02914977867754127,1,3.512229905138472
1,0.7606494239271187,0.07118533916671305,1,0.4590367867942344,0.01104370360116101,1,0.38174710098102643,0.05727012391373015,1,0.34516611510138745,0.015925445216778456,1,0.41676659805533744,0,1,0.6226156450643496,0.04448413626161716,1,5.6108841448588995
2,0.05403388404287273,0,0.764001685409297,0.05228588571217024,0,0.7314414810855041,0.06330427560589315,0,0.5958946815464575,0.06817817261605105,0,0.5166004603876777,0.11907239860230996,0,1,0.168810445635719,0,1,3.740671722728917
3,0.20993180106908998,0.019479887018949395,0.9423924470178207,0.5285961840140682,0.04030248630336694,1,0.459543557086578,0.07145497178736139,1,0.8965953434722608,0.21305450348033206,1,1,0.26432883282775205,1,0.40636966629618076,0.02972976597056853,1,4.736902388362271
4,0.2918752389223725,0.010163742671313966,0.8028618104272429,0.06485641330388997,0,0.7491405851213918,1,0.2735473834380881,1,0.02146943407184964,0,0.4924886748835974,0.5868339512448443,0.022749327957550757,1,0.11928411680383415,0,0.8273404367004418,3.5993714161053507
5,0.06727261411334683,0,0.6421145358057138,0.06865052966967412,0,0.6438340957419317,0.15151372931164264,0,0.7160956904257405,0.18572713476919386,0,0.7405295433222325,0.8183231265622813,0.024424928780491576,1,1,0.16477157479590143,1,3.537363704166038
6,0.9107877353292378,0.2609409062316037,1,0.38997312641621157,0.1049392013816406,1,0.9984078407967553,0.48504147210214027,1,0.862787627766407,0.062162217799239125,1,0.18472571067933896,0,0.7874111498401091,0.15676769706296315,0,0.6300003929617061,3.508980982507498
7,0.24000784068113692,0.17742596469178012,0.8077884421103819,0.8097148011111295,0.2791307725910888,1,1,0.47051798378728454,1,0.8187980686801392,0.2964206826706896,1,0.06697185565679215,0.06697185565679215,0.675605586569194,0.7412689734349593,0.09288314378649822,1,2.8856803664597153
8,0.7352221744175854,0.32534400517030126,1,1,0.23040834429791332,1,0.16656500899701548,0.04375002971268436,0.8029798215089283,0.06114590053759235,0,0.6006111782082293,0.019096466595902927,0,0.6904180719867528,0.020112187048132703,0,0.444442944024147,2.6588023366443307
